"","runtime","isAuto","qty","totImps","maxInks","totInks","locs","gini"
"503",3670,0,55,110,1,2,2,0
"504",313,0,10,20,1,1,1,0
"505",1593,0,30,60,1,1,1,0
"506",665,0,20,40,1,1,1,0
"507",3104,1,90,270,1,1,1,0
"508",6736,0,44,132,2,2,1,0
"509",776,0,16,32,1,1,1,0
"510",269,0,5,5,1,1,1,0
"511",1802,0,39,39,1,1,1,0
"512",1841,0,15,30,1,1,1,0
"513",347,0,8,16,1,1,1,0
"514",997,0,18,36,1,1,1,0
"515",2632,0,40,80,1,1,1,0
"516",815,0,25,25,1,1,1,0
"517",882,0,4,16,1,2,2,0
"518",3272,0,36,72,2,4,2,0
"519",935,0,9,27,2,3,2,0.17
"520",2570,0,20,40,1,1,1,0
"521",3736,0,32,128,1,2,2,0
"522",10022,1,30,120,1,2,2,0
"523",4072,0,25,100,1,2,2,0
"524",9,0,9,9,1,1,1,0
"525",1319,0,5,20,1,2,2,0
"526",759,0,36,72,1,2,2,0
"527",855,0,6,12,1,1,1,0
"528",2337,0,25,25,1,1,1,0
"529",5498,0,7,14,1,2,2,0
"530",618,0,6,12,1,1,1,0
"531",401,0,16,32,1,1,1,0
"532",73,0,3,3,1,1,1,0
"533",950,0,11,22,2,2,1,0
"534",6343,0,12,72,2,3,2,0.17
"535",2422,0,30,90,3,3,1,0
"536",1759,0,16,32,1,1,1,0
"537",727,0,24,48,1,1,1,0
"538",2038,0,20,60,2,3,2,0.17
"539",732,0,25,25,1,1,1,0
"540",1705,0,10,40,1,2,2,0
"541",1231,0,10,40,1,2,2,0
"542",845,0,6,6,1,1,1,0
"543",1165,1,40,40,2,2,1,0
"544",1915,0,10,40,1,2,2,0
"545",1324,0,10,30,2,2,1,0
"546",180,0,4,4,1,1,1,0
"547",2418,0,15,45,2,2,1,0
"548",1349,0,12,24,1,1,1,0
"549",1108,0,6,30,2,3,2,0.17
"550",683,0,14,14,1,1,1,0
"551",757,0,3,12,1,2,2,0
"552",357,0,5,10,1,1,1,0
"553",1978,0,6,36,3,5,2,0.1
"554",4189,0,6,30,2,3,2,0.17
"555",223,0,3,6,1,1,1,0
"556",690,0,4,8,1,1,1,0
"557",3691,0,26,130,2,3,2,0.17
"558",1264,0,10,50,3,3,1,0
"559",1002,0,16,48,2,2,1,0
"560",11693,1,200,400,2,3,2,0.17
"561",81,0,5,15,1,1,1,0
"562",1480,0,4,16,1,2,2,0
"563",15234,1,48,240,4,5,2,0.3
"564",1323,0,24,72,2,3,2,0.17
"565",3492,0,24,48,1,2,2,0
"566",4,0,6,12,1,1,1,0
"567",4383,1,65,260,6,7,2,0.36
"568",1248,0,4,16,3,4,2,0.25
"569",2808,0,15,120,2,3,2,0.17
