"","runtime","isAuto","qty","totImps","maxInks","totInks","locs","gini","timePerPc","timePerImp","inksPerPc"
"250",4001,1,45,180,2,4,2,0,88.9111111111111,22.2277777777778,0.0888888888888889
"251",4997,1,100,400,2,4,2,0,49.97,12.4925,0.04
"252",1232,1,31,62,1,2,2,0,39.741935483871,19.8709677419355,0.0645161290322581
"253",2136,1,32,128,1,2,2,0,66.75,16.6875,0.0625
"254",1737,1,51,51,1,1,1,0,34.0588235294118,34.0588235294118,0.0196078431372549
"255",6462,1,120,480,2,4,2,0,53.85,13.4625,0.0333333333333333
"256",10408,1,110,660,6,9,3,0.37,94.6181818181818,15.769696969697,0.0818181818181818
"257",1277,1,30,60,1,1,1,0,42.5666666666667,21.2833333333333,0.0333333333333333
"258",3632,1,161,161,2,2,1,0,22.5590062111801,22.5590062111801,0.0124223602484472
"259",768,1,31,62,1,1,1,0,24.7741935483871,12.3870967741935,0.032258064516129
"260",967,1,100,100,1,1,1,0,9.67,9.67,0.01
"261",739,1,54,54,2,2,1,0,13.6851851851852,13.6851851851852,0.037037037037037
"262",2060,1,30,120,1,2,2,0,68.6666666666667,17.1666666666667,0.0666666666666667
"263",1620,1,150,300,1,1,1,0,10.8,5.4,0.00666666666666667
"264",648,1,30,60,1,1,1,0,21.6,10.8,0.0333333333333333
"265",2160,1,53,106,1,2,2,0,40.7547169811321,20.377358490566,0.0377358490566038
"266",3020,1,82,246,2,3,2,0.17,36.8292682926829,12.2764227642276,0.0365853658536585
"267",2594,1,64,128,1,2,2,0,40.53125,20.265625,0.03125
"268",1908,1,50,200,1,2,2,0,38.16,9.54,0.04
"269",1690,1,45,90,1,2,2,0,37.5555555555556,18.7777777777778,0.0444444444444444
"270",1424,1,38,76,1,1,1,0,37.4736842105263,18.7368421052632,0.0263157894736842
"271",351,1,40,80,2,2,1,0,8.775,4.3875,0.05
"272",3279,1,31,124,2,3,2,0.17,105.774193548387,26.4435483870968,0.0967741935483871
"273",5462,1,120,240,1,2,2,0,45.5166666666667,22.7583333333333,0.0166666666666667
"274",5381,1,175,525,2,4,2,0,30.7485714285714,10.2495238095238,0.0228571428571429
"275",6784,1,43,258,3,4,2,0.25,157.767441860465,26.2945736434109,0.0930232558139535
"276",6473,1,100,300,1,2,2,0,64.73,21.5766666666667,0.02
"277",3149,1,105,315,2,3,2,0.17,29.9904761904762,9.9968253968254,0.0285714285714286
"278",2548,1,30,120,1,2,2,0,84.9333333333333,21.2333333333333,0.0666666666666667
"279",731,1,100,100,1,1,1,0,7.31,7.31,0.01
"280",4269,1,100,300,1,3,3,0,42.69,14.23,0.03
"281",2900,1,76,304,3,4,2,0.25,38.1578947368421,9.53947368421053,0.0526315789473684
"282",373,1,50,50,1,1,1,0,7.46,7.46,0.02
"283",959,1,35,70,1,1,1,0,27.4,13.7,0.0285714285714286
"284",1900,1,30,60,1,1,1,0,63.3333333333333,31.6666666666667,0.0333333333333333
"285",930,1,35,70,1,1,1,0,26.5714285714286,13.2857142857143,0.0285714285714286
"286",467,1,40,40,1,1,1,0,11.675,11.675,0.025
"287",2228,1,30,120,2,4,2,0,74.2666666666667,18.5666666666667,0.133333333333333
"288",441,1,44,44,1,1,1,0,10.0227272727273,10.0227272727273,0.0227272727272727
"289",3544,1,70,140,1,2,2,0,50.6285714285714,25.3142857142857,0.0285714285714286
"290",805,1,55,110,2,2,1,0,14.6363636363636,7.31818181818182,0.0363636363636364
"291",2467,1,62,124,2,3,2,0.17,39.7903225806452,19.8951612903226,0.0483870967741935
"292",3879,1,50,200,2,4,2,0,77.58,19.395,0.08
"293",2682,1,40,160,1,2,2,0,67.05,16.7625,0.05
"294",1000,1,39,156,1,2,2,0,25.6410256410256,6.41025641025641,0.0512820512820513
"295",724,1,34,68,1,1,1,0,21.2941176470588,10.6470588235294,0.0294117647058824
"296",498,1,50,50,1,1,1,0,9.96,9.96,0.02
"297",963,1,60,120,1,1,1,0,16.05,8.025,0.0166666666666667
"298",3211,1,30,120,1,2,2,0,107.033333333333,26.7583333333333,0.0666666666666667
"299",2040,1,73,219,1,2,2,0,27.9452054794521,9.31506849315068,0.0273972602739726
"300",417,1,64,64,1,1,1,0,6.515625,6.515625,0.015625
"301",838,1,47,47,1,1,1,0,17.8297872340426,17.8297872340426,0.0212765957446809
"302",726,1,31,62,1,1,1,0,23.4193548387097,11.7096774193548,0.032258064516129
"303",468,1,45,90,1,1,1,0,10.4,5.2,0.0222222222222222
"304",1093,1,30,60,1,2,2,0,36.4333333333333,18.2166666666667,0.0666666666666667
"305",2071,1,50,200,1,2,2,0,41.42,10.355,0.04
"306",4070,1,50,200,1,2,2,0,81.4,20.35,0.04
"307",2781,1,42,84,2,2,1,0,66.2142857142857,33.1071428571429,0.0476190476190476
"308",1219,1,52,208,1,2,2,0,23.4423076923077,5.86057692307692,0.0384615384615385
"309",2837,1,115,230,1,2,2,0,24.6695652173913,12.3347826086957,0.0173913043478261
"310",865,1,54,162,1,2,2,0,16.0185185185185,5.33950617283951,0.037037037037037
"311",1702,1,52,104,1,2,2,0,32.7307692307692,16.3653846153846,0.0384615384615385
"312",868,1,85,170,2,4,2,0,10.2117647058824,5.10588235294118,0.0470588235294118
"313",1381,1,60,120,1,1,1,0,23.0166666666667,11.5083333333333,0.0166666666666667
"314",6654,1,50,200,1,2,2,0,133.08,33.27,0.04
"315",564,1,50,100,1,1,1,0,11.28,5.64,0.02
"316",1762,1,58,58,2,2,1,0,30.3793103448276,30.3793103448276,0.0344827586206897
"317",364,1,40,40,1,2,2,0,9.1,9.1,0.05
"318",2065,1,40,80,1,1,1,0,51.625,25.8125,0.025
"319",517,1,50,50,1,1,1,0,10.34,10.34,0.02
"320",3201,1,260,260,1,1,1,0,12.3115384615385,12.3115384615385,0.00384615384615385
"321",2138,1,161,161,1,1,1,0,13.2795031055901,13.2795031055901,0.0062111801242236
"322",6841,1,91,364,1,2,2,0,75.1758241758242,18.793956043956,0.021978021978022
"323",1378,1,32,64,1,1,1,0,43.0625,21.53125,0.03125
"324",2916,1,47,376,2,4,2,0,62.0425531914894,7.75531914893617,0.0851063829787234
"325",1327,1,52,104,1,1,1,0,25.5192307692308,12.7596153846154,0.0192307692307692
"326",4787,1,144,288,1,1,1,0,33.2430555555556,16.6215277777778,0.00694444444444444
"327",2069,1,100,200,2,2,1,0,20.69,10.345,0.02
