"","runtime","isAuto","qty","totImps","maxInks","totInks","locs","gini","timePerPc","timePerImp","inksPerPc"
"161",518,0,8,16,2,2,"1",0,64.75,32.375,0.25
"162",1410,0,50,50,1,1,"1",0,28.2,28.2,0.02
"163",2593,0,14,56,2,4,"2",0,185.214285714286,46.3035714285714,0.285714285714286
"164",1936,0,20,80,1,2,"2",0,96.8,24.2,0.1
"165",790,0,6,18,2,2,"1",0,131.666666666667,43.8888888888889,0.333333333333333
"166",447,0,7,14,1,1,"1",0,63.8571428571429,31.9285714285714,0.142857142857143
"167",1788,0,11,77,6,6,"1",0,162.545454545455,23.2207792207792,0.545454545454545
"168",405,0,4,16,1,2,"2",0,101.25,25.3125,0.5
"169",5907,0,42,210,5,5,"1",0,140.642857142857,28.1285714285714,0.119047619047619
"170",789,0,9,18,1,1,"1",0,87.6666666666667,43.8333333333333,0.111111111111111
"171",215,0,3,6,1,1,"1",0,71.6666666666667,35.8333333333333,0.333333333333333
"172",1165,0,25,50,1,1,"1",0,46.6,23.3,0.04
"173",756,0,9,27,2,2,"1",0,84,28,0.222222222222222
"174",5910,0,36,144,1,2,"2",0,164.166666666667,41.0416666666667,0.0555555555555556
"175",1846,0,10,60,2,4,"2",0,184.6,30.7666666666667,0.4
"176",928,0,14,28,1,1,"1",0,66.2857142857143,33.1428571428571,0.0714285714285714
"177",1930,0,15,60,2,2,"1",0,128.666666666667,32.1666666666667,0.133333333333333
"178",777,0,15,30,1,1,"1",0,51.8,25.9,0.0666666666666667
"179",5145,0,38,228,2,4,"2",0,135.394736842105,22.5657894736842,0.105263157894737
"180",3687,0,35,140,3,3,"1",0,105.342857142857,26.3357142857143,0.0857142857142857
"181",335,0,10,10,1,1,"1",0,33.5,33.5,0.1
"182",515,0,7,21,2,2,"1",0,73.5714285714286,24.5238095238095,0.285714285714286
"183",2243,0,15,60,1,2,"2",0,149.533333333333,37.3833333333333,0.133333333333333
"184",3609,0,19,76,1,2,"2",0,189.947368421053,47.4868421052632,0.105263157894737
"185",3346,0,30,120,1,2,"2",0,111.533333333333,27.8833333333333,0.0666666666666667
