tab_score_reg,dopasPerTab,totInksPerTab,tot_imps_per_tab,stationTypeId,idx,oID,maxInksPerTab,gini,tab_score_weighted,tabID,qtyPerTab,runTime
2.83,2,4,120,2,60,263308,2,0,339.41,75524,15,5537
1,1,1,12,2,61,263309,1,0,12,75525,6,86
1,1,1,50,2,62,263313,1,0,50,75532,25,1117
2,2,2,142,2,63,263315,1,0,284,75534,71,4972
2.83,2,4,104,2,64,263319,2,0,294.16,75541,13,8076
4.47,2,10,434,2,65,263322,6,0.1,1940.91,75545,31,9467
1,1,1,120,2,66,263323,1,0,120,75546,60,4299
1,1,1,23,2,67,263324,1,0,23,75548,23,607
2,2,2,140,2,68,263326,1,0,280,75550,35,6284
2.45,2,3,105,2,69,263329,2,0.17,257.2,75553,35,1916
1,1,1,1472,1,70,263330,1,0,1472,75554,1472,72471
1,1,1,15,2,71,263331,1,0,15,75555,5,670
2,2,2,136,2,72,263333,1,0,272,75558,34,3542
2,2,2,40,2,73,263335,1,0,80,75560,20,2282
1.41,1,1,128,2,74,263345,1,0,181.02,75571,64,3711
1,1,1,30,2,75,263348,1,0,30,75577,30,903
2.45,2,3,258,2,76,263352,2,0.17,631.97,75582,43,6327
2,2,2,120,2,77,263354,1,0,240,75584,30,3196
1.41,1,2,40,2,78,263369,2,0,56.57,75603,20,1304
1,1,1,14,2,79,263370,1,0,14,75604,7,223
1.41,1,1,16,2,80,263373,1,0,22.63,75608,8,1559
1,1,1,6,2,81,263374,1,0,6,75609,6,335
1.41,1,2,12,2,82,263378,2,0,16.97,75615,3,759
3.16,2,5,365,1,83,263389,3,0.1,1154.23,75629,73,6673
1,1,1,6,2,84,263392,1,0,6,75632,3,609
1.41,1,2,90,1,85,263393,2,0,127.28,75633,90,2712
1,1,1,8,2,86,263395,1,0,8,75635,4,405
2,1,2,26,2,87,263397,2,0,52,75637,13,572
1.41,1,1,8,2,88,263404,1,0,11.31,75644,8,357
2,2,2,68,2,89,263405,1,0,136,75645,17,1989
2,2,2,12,2,90,263406,1,0,24,75646,3,546
2,2,2,164,2,91,263411,1,0,328,75651,41,5787
1,1,1,3,2,92,263412,1,0,3,75652,3,186
2.45,2,3,50,2,93,263416,2,0.17,122.47,75656,10,337
2.83,2,4,178,1,94,263417,2,0,503.46,75657,89,5853
1,1,1,90,2,95,263422,1,0,90,75663,45,1524
1,1,1,108,2,96,263424,1,0,108,75665,54,2636
1,1,1,70,2,97,263425,1,0,70,75666,70,620
2.24,1,5,180,2,98,263428,5,0,402.49,75669,30,6438
1,1,1,22,2,99,263436,1,0,22,75677,22,1009
1,1,1,40,2,100,263438,1,0,40,75679,20,1412
1,1,1,16,2,101,263446,1,0,16,75687,8,338
1.41,1,2,24,2,102,263450,2,0,33.94,75691,6,1795
2,2,2,30,2,103,263451,1,0,60,75692,15,1429
1,1,1,6,2,104,263459,1,0,6,75700,3,253
1,1,1,102,2,105,263460,1,0,102,75701,51,2095
1,1,1,3,2,106,263461,1,0,3,75702,3,256
1.41,1,2,114,2,107,263462,2,0,161.22,75703,38,2855
3.46,2,6,490,2,108,263463,3,0,1697.41,75704,35,5908
1,1,1,6,2,109,263465,1,0,6,75706,3,130
1.41,1,2,12,2,110,263466,2,0,16.97,75707,6,1850
2,1,4,56,2,111,263467,4,0,112,75708,14,1426
1,1,1,6,2,112,263468,1,0,6,75709,3,733
2.45,2,3,126,2,113,263471,2,0.17,308.64,75712,42,4762
1.73,1,3,80,2,114,263475,3,0,138.56,75716,20,1881
2.45,2,2,44,2,115,263478,1,0,107.78,75719,11,8
1,1,1,66,2,116,263479,1,0,66,75720,33,978
2,2,2,50,2,117,263501,1,0,100,75742,25,2874
1,1,1,12,2,118,263502,1,0,12,75743,12,730
1,1,1,82,2,119,263506,1,0,82,75747,41,1251
1.41,1,1,8,2,120,263509,1,0,11.31,75750,4,115
1,1,1,22,2,121,263514,1,0,22,75755,11,854
2.45,2,3,42,2,122,263519,2,0.17,102.88,75760,7,1564
1.41,1,2,114,2,123,263527,2,0,161.22,75772,38,3081
3,3,3,18,2,124,263530,1,0,54,75775,3,1272
2,2,2,100,2,125,263533,1,0,200,75778,25,5024
2.83,2,4,80,2,126,263536,3,0.25,226.27,75782,20,2
1,1,1,10,2,127,263537,1,0,10,75783,5,298
2,2,2,20,2,128,263552,1,0,40,75803,10,991
2,2,2,236,1,129,263553,1,0,472,75804,59,3655
1.73,1,3,65,2,130,263557,3,0,112.58,75809,13,970
2,2,2,22,2,131,263559,1,0,44,75811,11,1361
2.45,2,3,18,2,132,263561,2,0.17,44.09,75813,3,1513
2,2,2,40,2,133,263565,1,0,80,75818,10,1206
1,1,1,12,2,134,263571,1,0,12,75824,6,894
3.87,1,1,15,2,135,263576,1,0,58.09,75830,15,678
2.45,2,3,573,1,136,263577,2,0.17,1403.56,75831,191,4390
1,1,1,88,2,137,263581,1,0,88,75838,44,2554
1,1,1,3,2,138,263586,1,0,3,75843,3,91
1.41,1,2,42,2,139,263598,2,0,59.4,75857,14,1075
