,orderId,tab_id,dopa_id,runTime,tabsPerOrder,tab_tot_pcs,dopa_tot_imp,printer,dopa_tot_inks,dopas_per_tab,inks_per_tab,tot_imps_per_tab,tab_score_reg,tab_score_weighted,stationTypeId,good,actual,pred,WSPP,mult_dopa
64,306809,125136,201071,484,1,15,15,191063,1,1,1,15,1,15,2,1,Manual,Manual,1,0
67,306758,125072,200976,5488,1,57,114,490995,1,2,2,114,2,228,1,1,Automatic,Automatic,4,0
70,306734,125044,200928,11,1,42,84,562266,1,1,1,84,1,84,2,1,Manual,Manual,2,0
71,306730,125039,200920,1059,1,10,20,541683,1,1,1,20,1,20,2,1,Manual,Manual,2,0
72,306717,125025,200899,1262,1,25,75,242885,2,2,2,75,2,150,2,1,Manual,Manual,6,0
73,306710,125015,200884,1608,1,58,116,490995,3,1,3,116,1.73205,200.918,1,1,Automatic,Automatic,3.464103448,0
76,306702,125005,200869,3220,1,60,60,53821,1,1,1,60,1,60,2,0,Manual,Automatic,1,0
87,306682,124979,200828,15618,1,150,150,53823,4,2,8,150,4,600,1,1,Automatic,Automatic,4,0
92,306668,124964,200804,742,1,12,24,562266,2,1,2,24,1.41421,33.9411,2,1,Manual,Manual,2.828425,0
95,306661,124957,200793,11,1,3,6,562266,1,1,1,6,1,6,2,1,Manual,Manual,2,0
96,306660,124956,200792,3,1,6,18,541683,2,1,2,18,1.41421,25.4558,2,1,Manual,Manual,4.242633333,0
101,306647,124942,200768,582,1,6,6,299568,1,1,1,6,1,6,2,1,Manual,Manual,1,0
104,306638,124928,200742,4746,1,23,46,581359,1,1,1,46,1,46,2,1,Manual,Manual,2,0
109,306623,124909,200711,563,1,4,8,299568,1,1,1,8,1,8,2,1,Manual,Manual,2,0
110,306621,124906,200708,1103,1,48,48,299568,1,1,1,48,1,48,2,1,Manual,Manual,1,0
115,306606,124887,200681,403,1,10,10,53821,1,1,1,10,1,10,2,1,Manual,Manual,1,0
118,306601,124881,200674,17,1,3,3,562266,1,1,1,3,1,3,2,1,Manual,Manual,1,0
121,306593,124871,200660,2507,1,18,36,562266,1,2,2,36,2,72,2,1,Manual,Manual,4,0
122,306592,124870,200657,4723,1,155,310,50883,2,1,2,310,1.41421,438.406,1,1,Automatic,Automatic,2.828425806,0
123,306583,124859,200642,3580,1,150,300,530375,1,1,1,300,1,300,2,0,Manual,Automatic,2,0
124,306582,124858,200641,1350,1,6,12,581359,1,1,1,12,1,12,2,1,Manual,Manual,2,0
125,306579,124855,200637,4501,1,25,50,53821,1,2,2,50,2,100,2,1,Manual,Manual,4,0
126,306570,124849,200625,930,1,24,48,404135,1,1,1,48,1,48,2,1,Manual,Manual,2,0
127,306558,124835,200607,699,1,38,114,50866,2,1,2,114,1.41421,161.22,2,1,Manual,Manual,4.242631579,0
128,306553,124831,200598,1528,1,49,49,53821,1,2,1,49,1.41421,69.2965,2,1,Manual,Manual,1.414214286,0
129,306547,124825,200588,359,1,12,24,191063,1,1,1,24,1,24,2,1,Manual,Manual,2,0
132,306541,124820,200580,2302,1,3,6,404135,2,1,2,6,1.41421,8.48528,2,1,Manual,Manual,2.828426667,0
143,306514,124796,200539,1727,1,50,50,179624,1,1,1,50,1,50,2,1,Manual,Manual,1,0
144,306513,124795,200537,881,1,12,12,242865,2,2,2,12,2,24,2,1,Manual,Manual,2,0
145,306511,124793,200534,626,1,3,3,299568,1,1,1,3,1,3,2,1,Manual,Manual,1,0
146,306506,124787,200525,14,1,6,6,50866,1,1,1,6,1,6,2,1,Manual,Manual,1,0
147,306502,124782,200516,2807,1,10,10,581359,1,1,1,10,1,10,2,1,Manual,Manual,1,0
150,306493,124773,200501,236,1,4,8,562266,2,1,2,8,1.41421,11.3137,2,1,Manual,Manual,2.828425,0
155,306486,124767,200492,395,1,5,10,190801,1,1,1,10,1,10,2,1,Manual,Manual,2,0
156,306476,124750,200466,645,1,3,6,404135,1,1,1,6,1,6,2,1,Manual,Manual,2,0
161,306460,124731,200436,411,1,33,33,404135,1,1,1,33,1,33,2,1,Manual,Manual,1,0
162,306455,124726,200427,392,1,3,6,299568,1,1,1,6,1,6,2,1,Manual,Manual,2,0
163,306452,124723,200422,123,1,7,14,562266,1,2,1,14,1.41421,19.799,2,1,Manual,Manual,2.828428571,0
172,306428,124696,200369,588,1,5,15,242865,2,1,2,15,1.41421,21.2132,2,1,Manual,Manual,4.24264,0
175,306422,124691,200361,258,1,3,6,191063,1,2,1,6,1.41421,8.48528,2,1,Manual,Manual,2.828426667,0
176,306417,124687,200354,1980,1,50,50,530379,1,1,1,50,1,50,2,1,Manual,Manual,1,0
177,306416,124686,200352,3065,1,11,22,404135,2,2,2,22,2,44,2,1,Manual,Manual,4,0
180,306404,124671,200328,556,1,5,10,191063,1,1,1,10,1,10,2,1,Manual,Manual,2,0
183,306395,124661,200313,4811,1,38,76,581359,1,2,1,76,1.41421,107.48,2,1,Manual,Manual,2.828421053,0
186,306388,124653,200299,1264,1,6,6,404135,1,1,1,6,1,6,2,1,Manual,Manual,1,0
189,306386,124650,200295,277,1,3,6,50866,1,1,1,6,1,6,2,1,Manual,Manual,2,0
190,306384,124648,200292,465,1,10,20,242865,1,1,1,20,1,20,2,1,Manual,Manual,2,0
193,306375,124639,200277,1390,1,6,12,299568,1,2,1,12,1.41421,16.9706,2,1,Manual,Manual,2.828433333,0
196,306369,124632,200267,2203,1,16,32,404135,1,2,1,32,1.41421,45.2548,2,1,Manual,Manual,2.828425,0
201,306361,124623,200251,282,1,3,3,179624,1,1,1,3,1,3,2,1,Manual,Manual,1,0
202,306358,124620,200247,648,1,14,28,191063,1,1,1,28,1,28,2,1,Manual,Manual,2,0
203,306353,124615,200239,309,1,3,6,404135,1,1,1,6,1,6,2,1,Manual,Manual,2,0
204,306342,124603,200222,2330,1,11,22,299568,1,2,1,22,1.41421,31.1127,2,1,Manual,Manual,2.828427273,0
211,306322,124577,200183,13,1,14,28,562266,1,1,1,28,1,28,2,1,Manual,Manual,2,0
214,306315,124563,200167,1252,1,15,30,541683,1,2,1,30,1.41421,42.4264,2,1,Manual,Manual,2.828426667,0
215,306314,124562,200165,54,1,4,28,50866,4,2,4,28,2.82843,79.196,2,1,Manual,Manual,19.799,0
222,306295,124544,200139,380,1,14,28,299568,1,1,1,28,1,28,2,1,Manual,Manual,2,0
223,306294,124543,200137,611,1,20,20,50866,1,1,1,20,1,20,2,1,Manual,Manual,1,0
226,306289,124538,200130,510,1,6,12,53821,1,1,1,12,1,12,2,1,Manual,Manual,2,0
229,306278,124521,200099,445,1,3,6,50866,1,1,1,6,1,6,2,1,Manual,Manual,2,0
230,306272,124514,200090,1021,1,15,30,404135,1,1,1,30,1,30,2,1,Manual,Manual,2,0
231,306268,124510,200083,861,1,13,26,299568,1,1,1,26,1,26,2,1,Manual,Manual,2,0
234,306257,124498,200065,1095,1,15,30,53821,1,1,1,30,1,30,2,1,Manual,Manual,2,0
239,306241,124475,200030,1149,1,8,16,541683,1,1,1,16,1,16,2,1,Manual,Manual,2,0
240,306238,124472,200025,1537,1,15,30,299568,2,1,2,30,1.41421,42.4264,2,1,Manual,Manual,2.828426667,0
241,306235,124469,200020,108,1,3,6,299568,1,1,1,6,1,6,2,1,Manual,Manual,2,0
246,306227,124455,199995,2624,1,20,40,299568,1,1,1,40,1,40,2,1,Manual,Manual,2,0
247,306224,124452,199991,675,1,8,16,299568,1,1,1,16,1,16,2,1,Manual,Manual,2,0
250,306214,124442,199977,2262,1,30,30,190801,1,1,1,30,1,30,2,1,Manual,Manual,1,0
253,306206,124434,199964,2490,1,14,42,53821,2,1,2,42,1.41421,59.397,2,1,Manual,Manual,4.242642857,0
258,306198,124425,199950,2188,1,5,10,562266,1,1,1,10,1,10,2,1,Manual,Manual,2,0
259,306197,124424,199949,965,1,3,6,404135,1,1,1,6,1,6,2,1,Manual,Manual,2,0
260,306196,124423,199948,792,1,9,18,404135,1,1,1,18,1,18,2,1,Manual,Manual,2,0
