"","orderId","tab_id","dopa_id","runTime","tabsPerOrder","tab_tot_pcs","dopa_tot_imp","printer","dopa_tot_inks","dopas_per_tab","inks_per_tab","tot_imps_per_tab","tab_score_reg","tab_score_weighted","stationTypeId","good","actual","pred","WSPP"
"344",306025,124231,199652,2393,1,100,200,242865,1,2,2,400,2,800,1,1,"Automatic","Automatic",8
"345",306019,124226,199645,739,1,12,12,404135,1,1,1,12,1,12,2,1,"Manual","Manual",1
"346",306016,124223,199641,1555,1,13,26,53821,1,2,2,52,2,104,2,1,"Manual","Manual",8
"347",306016,124223,199642,1555,1,13,26,53821,1,2,2,52,2,104,2,1,"Manual","Manual",8
"348",306006,124212,199622,1370,1,14,14,581359,1,1,1,14,1,14,2,1,"Manual","Manual",1
"349",306002,124208,199616,136,1,3,3,191063,1,2,1,3,1.41421,4.24264,2,1,"Manual","Manual",1.41421333333333
"350",306001,124207,199615,782,1,25,25,190801,1,1,1,25,1,25,2,1,"Manual","Manual",1
"351",305997,124201,199607,5,1,3,6,562266,1,2,2,12,2,24,2,1,"Manual","Manual",8
"352",305997,124201,199608,5,1,3,6,562266,1,2,2,12,2,24,2,1,"Manual","Manual",8
"353",305987,124188,199584,6187,1,7,28,581359,2,2,2,28,2,56,2,1,"Manual","Manual",8
"354",305984,124185,199580,1164,1,6,12,562266,1,1,1,12,1,12,2,1,"Manual","Manual",2
"355",305978,124179,199573,90,1,3,6,190801,1,1,1,6,1,6,2,1,"Manual","Manual",2
"356",305976,124176,199569,735,1,6,12,50866,1,2,2,24,2,48,2,1,"Manual","Manual",8
"357",305976,124176,199570,735,1,6,12,50866,1,2,2,24,2,48,2,1,"Manual","Manual",8
"358",305964,124163,199549,1709,1,13,26,191063,1,2,2,52,2,104,2,1,"Manual","Manual",8
"359",305964,124163,199550,1709,1,13,26,191063,1,2,2,52,2,104,2,1,"Manual","Manual",8
"360",305962,124161,199546,163,1,3,6,299568,1,1,1,6,1,6,2,1,"Manual","Manual",2
"361",305960,124159,199543,62327,1,7,21,242885,1,2,1,21,1.41421,29.6985,2,1,"Manual","Manual",4.24264285714286
"362",305957,124155,199538,445,1,13,26,50866,1,1,1,26,1,26,2,1,"Manual","Manual",2
"363",305953,124151,199532,5324,1,33,66,404135,1,2,2,132,2,264,2,1,"Manual","Manual",8
"364",305953,124151,199533,5324,1,33,66,404135,1,2,2,132,2,264,2,1,"Manual","Manual",8
"365",305949,124147,199528,452,1,11,22,53821,1,1,1,22,1,22,2,1,"Manual","Manual",2
"366",305942,124138,199513,594,1,3,6,299568,1,1,1,6,1,6,2,1,"Manual","Manual",2
"367",305933,124129,199498,2195,1,20,60,191063,3,2,5,100,3.16228,316.228,2,1,"Manual","Manual",15.8114
"368",305933,124129,199499,2195,1,20,40,191063,2,2,5,100,3.16228,316.228,2,1,"Manual","Manual",15.8114
"369",305931,124127,199493,3624,1,116,232,190801,1,3,2,464,2.44949,1136.56,2,1,"Manual","Manual",9.79793103448276
"370",305931,124127,199494,3624,1,116,232,53813,1,3,2,464,2.44949,1136.56,2,1,"Manual","Manual",9.79793103448276
"371",305925,124121,199484,4337,1,19,57,191063,2,2,4,114,2.82843,322.441,2,1,"Manual","Manual",16.9705789473684
"372",305925,124121,199485,4337,1,19,57,191063,2,2,4,114,2.82843,322.441,2,1,"Manual","Manual",16.9705789473684
"373",305923,124119,199480,5208,1,35,70,404135,1,2,2,140,2,280,2,1,"Manual","Manual",8
"374",305923,124119,199481,5208,1,35,70,404135,1,2,2,140,2,280,2,1,"Manual","Manual",8
"375",305918,124114,199472,1723,1,40,40,190801,1,1,1,40,1,40,2,1,"Manual","Manual",1
"376",305912,124105,199458,1833,1,20,40,191063,1,1,1,40,1,40,2,1,"Manual","Manual",2
"377",305905,124097,199442,3289,1,22,66,299564,2,2,4,132,2.82843,373.352,2,1,"Manual","Manual",16.9705454545455
"378",305905,124097,199443,3289,1,22,66,299564,2,2,4,132,2.82843,373.352,2,1,"Manual","Manual",16.9705454545455
"379",305904,124096,199441,279,1,5,5,541683,1,1,1,5,1,5,2,1,"Manual","Manual",1
"380",305898,124089,199431,7,1,129,129,242865,1,2,3,258,2.44949,631.968,1,1,"Automatic","Automatic",4.89897674418605
"381",305898,124089,199432,7,1,129,129,242865,2,2,3,258,2.44949,631.968,1,1,"Automatic","Automatic",4.89897674418605
"382",305896,124087,199428,397,1,6,12,53821,1,1,1,12,1,12,2,1,"Manual","Manual",2
"383",305894,124085,199425,5871,1,22,44,541683,2,2,3,66,2.44949,161.666,2,1,"Manual","Manual",7.34845454545454
"384",305894,124085,199426,5871,1,22,22,541683,1,2,3,66,2.44949,161.666,2,1,"Manual","Manual",7.34845454545454
"385",305890,124080,199416,11945,1,47,94,581359,2,2,3,188,2.44949,460.504,2,1,"Manual","Manual",9.79795744680851
"386",305890,124080,199417,11945,1,47,94,581359,1,2,3,188,2.44949,460.504,2,1,"Manual","Manual",9.79795744680851
"387",305882,124071,199400,1691,1,60,120,299564,1,2,2,240,2,480,2,0,"Manual","Automatic",8
"388",305882,124071,199401,1691,1,60,120,299564,1,2,2,240,2,480,2,0,"Manual","Automatic",8
